"x_metric_recla","x_metric_unit_recla","n_articles"
"Irrigated land","percentage of irrigated land",3
"Likelihood that farmland will leave to family","1= farmland will leave to family",2
"Reasons for joining the organization",NA,1
"access to agricultural extension","1= yes, 0= no",54
"access to agricultural information","1= poor access, 0= otherwise",1
"access to agricultural information","1= yes, 0= no",21
"access to agricultural information","index for access to information on agriculture, climate and/or market",1
"access to agricultural information","index for access to information on agriculture, climate and/or market (1,2,3)",1
"access to agricultural inputs","1= access to seeds, 0= no",2
"access to agricultural inputs","1= yes, 0= no",3
"access to agricultural training","1= yes, 0= no",21
"access to agricultural training","number of people trained",1
"access to credit","1= yes, 0= no",49
"access to credit is a constraint","1= yes, 0= no",6
"access to electricity","1= yes, 0= no",1
"access to irrigation","1= yes, 0= no",14
"access to machinery","1= yes, 0= no",6
"access to machinery",NA,1
"access to off-farm income","1= yes, 0= no",40
"access to output markets","1= yes, 0= no",1
"access to output markets",NA,4
"access to road networks",NA,2
"access to support","1= yes, 0= no",2
"access to water","1= have a stream running next to the farm, 0= otherwise",2
"access to water","1= have a stream running through the farm, 0= otherwise",3
"access to water","1= lack of water, 0= otherwise",1
"access to water","1= standpipe water point, 0= otherwise",1
"access to water","1= yes, 0= no",1
"access to water",NA,2
"administrative region assessed",NA,31
"agricultural extension frequency","(number of contacts)^2",1
"agricultural extension frequency","0= none, 1= occasional, 2= frequent",1
"agricultural extension frequency","1= ocassional contact, 0= otherwise",1
"agricultural extension frequency","1= regular contact, 0= otherwise",1
"agricultural extension frequency","Always = 5, Sometimes = 4, Rarely = 3 Once = 2, and Never = 1",1
"agricultural extension frequency","Index for participation in trainings, visits of extension services and/or private consultants (1,2,3)",1
"agricultural extension frequency","Standard Enumeration Area (SEA) that received extension",1
"agricultural extension frequency","log(number of contacts)",1
"agricultural extension frequency","number of contacts",16
"agricultural extension frequency","scale 0-4 (0= no contact, 4= regular contact)",1
"agricultural extension frequency","scale 1-7 (7 = advice received a week ago; 6 = a month ago, 5 = three months ago, 4 = six months ago; 3 = a year ago, 2 = longer than a year ago; 1 = no contact)",1
"agricultural input cost (seed, fertilizer)","ZMK/kg (Zambia money)",1
"agricultural input cost (seed, fertilizer)","million VND (Vietnam money)",1
"agricultural input cost (seed, fertilizer)","price/kg",1
"agricultural input cost (seed, fertilizer)",NA,1
"agricultural training frequency","0= none, 1= occasional, 2= frequent",1
"agricultural training frequency","number of trainings",1
"agriculture as main source of income","1= yes, 0= no",5
"agroecological zone assessed","1= downslope, 0= upslope",1
"agroecological zone assessed","1= middle slope, upslope",1
"agroecological zone assessed",NA,21
"amount of credit received","USD",1
"amount of rented land","ha",2
"amount of rented land","percentage of land is rented",5
"area of main crop grown","1= 0–0.11 ha, 2= 0.11–0.125 ha, 3= 0.125–0.25 ha, 4= 0.25–1 ha",1
"area of main crop grown","ha",5
"area of main crop grown","ha per capita",1
"area of main crop grown","ln(ha)",1
"area of main crop grown","percentage",1
"area of main crop grown",NA,1
"area under SFP or DFS","ha",3
"area under SFP or DFS","proportion land",2
"area under SFP or DFS","ratio of land",1
"awareness of SFP or DFS","1= yes, 0= no",11
"awareness of SFP or DFS","knowledge efficacy scale 1-5 (1 = strongly disagree,5 = strongly agree)",1
"awareness of SFP or DFS","sacale 1-5",1
"awareness of SFP or DFS","scale 0-18 (0= lower knowledge, 18= higher knowledge)",1
"chemical fertilizer use","1= yes, 0= no",3
"chemical fertilizer use","kg per ha",1
"chemical fertilizer use","kg/ha",1
"chemical fertilizer use","tons",1
"chemical herbicide/pesticide use","1= yes, 0= no",2
"chemical herbicide/pesticide use","1=cultural; 2=chemical; 3=none",1
"chemical herbicide/pesticide use","1=mechanical; 2=herbicide; 3=both",1
"cost of implementing sustainble farming practices","USD",1
"cost of implementing sustainble farming practices",NA,3
"crop insurance","1= yes, 0= no",2
"crop insurance","ha",1
"crop insurance","log(ha)",1
"crop insurance","percentage of total expenses",1
"cropland area","(ha)^2",1
"cropland area","ha",5
"cropland area","log(acres)",1
"cropland area","log(ha)",1
"distance farm-house","1= < 1 km, 0= otherwise",1
"distance farm-house","1= away, 0= same place",1
"distance farm-house","2= 1 to 3 km, 0= otherwise",1
"distance farm-house","km",9
"distance farm-house","log(km)",1
"distance farm-house","log(minutes)",1
"distance farm-house","minutes",9
"distance farm-house","nd",1
"distance to extension service","km",3
"distance to extension service","log(km)",1
"distance to extension service","minutes",2
