"pcc_factor_unit","moderator","moderator_class","estimate","se","tval","df","pval","ci.lb","ci.ub","beta","se.1","ci.lb.1","ci.ub.1","tval.1","pval.1","df.1","factor_sub_class","significance2"
"Gender (1= male)","m_region","Africa",-0.00685047296839671,0.0183739608581192,-0.372835940018321,132,0.709868552513226,-0.0431959836634014,0.029495037726608,-0.00685047296839671,0.0183739608581192,-0.0431959836634014,0.029495037726608,-0.372835940018321,0.709868552513226,132,"Socio-demographic","no_significant_negative"
"Gender (1= male)","m_region","Asia",0.0145334227950559,0.0431493046902605,0.336817079658211,132,0.736789707690951,-0.0708201668425795,0.0998870124326913,0.0145334227950559,0.0431493046902605,-0.0708201668425795,0.0998870124326913,0.336817079658211,0.736789707690951,132,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_region","Europe",0.0727658126323478,0.0948781191207102,0.766939873036167,132,0.444486805143043,-0.114912484924268,0.260444110188963,0.0727658126323478,0.0948781191207102,-0.114912484924268,0.260444110188963,0.766939873036167,0.444486805143043,132,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_region","Latin America and the Caribbean",0.0636586861167256,0.189234691428391,0.336400718262671,132,0.737102897950482,-0.310666237849642,0.437983610083093,0.0636586861167256,0.189234691428391,-0.310666237849642,0.437983610083093,0.336400718262671,0.737102897950482,132,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_region","Northern America",0.0450171779986455,0.0620557902561395,0.725430742446983,132,0.469471953492143,-0.0777353088417101,0.167769664839001,0.0450171779986455,0.0620557902561395,-0.0777353088417101,0.167769664839001,0.725430742446983,0.469471953492143,132,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_region","Africa",0.0109628012191351,0.0187232796306209,0.585517144186963,159,0.559030156415017,-0.0260156051419276,0.0479412075801978,0.0109628012191351,0.0187232796306209,-0.0260156051419276,0.0479412075801978,0.585517144186963,0.559030156415017,159,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_region","Asia",-0.00233911282338052,0.0380103131367546,-0.0615388990604942,159,0.951007323186983,-0.0774093373145766,0.0727311116678155,-0.00233911282338052,0.0380103131367546,-0.0774093373145766,0.0727311116678155,-0.0615388990604942,0.951007323186983,159,"Socio-demographic","no_significant_negative"
"Age (continuous)","m_region","Europe",-0.029142848644362,0.0870422715183736,-0.334812593191692,159,0.738207736692613,-0.201051005243828,0.142765307955104,-0.029142848644362,0.0870422715183736,-0.201051005243828,0.142765307955104,-0.334812593191692,0.738207736692613,159,"Socio-demographic","no_significant_negative"
"Age (continuous)","m_region","Latin America and the Caribbean",0.086914886719337,0.194536147148069,0.446780138259768,159,0.655641761433845,-0.297293267144476,0.47112304058315,0.086914886719337,0.194536147148069,-0.297293267144476,0.47112304058315,0.446780138259768,0.655641761433845,159,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_region","Northern America",0.00254712872732983,0.0339028015497207,0.0751303317395261,159,0.940205458159974,-0.0644107759355757,0.0695050333902354,0.00254712872732983,0.0339028015497207,-0.0644107759355757,0.0695050333902354,0.0751303317395261,0.940205458159974,159,"Socio-demographic","no_significant_positive"
"Education (continuous)","m_region","Africa",0.0618301220791917,0.0220786937153946,2.80044294631797,127,0.00590157002794468,0.018140371654448,0.105519872503935,0.0618301220791917,0.0220786937153946,0.018140371654448,0.105519872503935,2.80044294631797,0.00590157002794468,127,"Socio-demographic","significant_positive"
"Education (continuous)","m_region","Asia",0.0436619099763029,0.0371289017612848,1.17595479276552,127,0.241812626016844,-0.02980948613099,0.117133306083596,0.0436619099763029,0.0371289017612848,-0.02980948613099,0.117133306083596,1.17595479276552,0.241812626016844,127,"Socio-demographic","no_significant_positive"
"Education (continuous)","m_region","Europe",0.033375501330766,0.102932557679271,0.324246303436483,127,0.746284988423604,-0.170309454561901,0.237060457223433,0.033375501330766,0.102932557679271,-0.170309454561901,0.237060457223433,0.324246303436483,0.746284988423604,127,"Socio-demographic","no_significant_positive"
"Education (continuous)","m_region","Latin America and the Caribbean",0.0345085560693241,0.0948679202289172,0.363753690246972,127,0.716646786241532,-0.153217937696288,0.222235049834936,0.0345085560693241,0.0948679202289172,-0.153217937696288,0.222235049834936,0.363753690246972,0.716646786241532,127,"Socio-demographic","no_significant_positive"
"Education (continuous)","m_region","Northern America",-0.0219576074220499,0.0640076220080536,-0.343046761201145,127,0.732130460884667,-0.148617140221462,0.104701925377362,-0.0219576074220499,0.0640076220080536,-0.148617140221462,0.104701925377362,-0.343046761201145,0.732130460884667,127,"Socio-demographic","no_significant_negative"
"Access to non-farm income (1= yes)","m_region","Africa",0.0396728060520158,0.0182835049025991,2.16986875674894,56,0.0342751470816049,0.00304654454787457,0.076299067556157,0.0396728060520158,0.0182835049025991,0.00304654454787457,0.076299067556157,2.16986875674894,0.0342751470816049,56,"Financial capital","significant_positive"
