"article_id","model_id","main_crop","country","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","intervention_recla_detail_4","y_metric_recla","x_metric_raw","x_metric_recla","x_metric_unit_raw","x_metric_unit_recla","x_data_type","transformation_coefficient","transformation_variance_num","model_analysis_raw","m_model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","variance_ci_l","variance_ci_l_num","variance_ci_u","variance_ci_u_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","limitation_of_use_obs","factor_metric","coefficient_variance_type","model_coefficient_variance_type","t_value_pcc","b_logOR","se_logOR","m_region","m_sub_region","Developed_Developing","m_intervention_recla2","m_exact_variance_value","m_random_sample","m_mean_farm_size_ha","m_sampling_unit","m_type_data","m_av_year_assessment","factor_sub_class","x_metric_recla2","pcc_unit","logor_unit","pcc_factor_unit","ES_ID","yi","vi"
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Landholding (ha)","farm size","ha","ha","continuous","none",NA,"correlated random effects probit model","probit","B",0.1,0.1,"SE","7.0000000000000001E-3",0.007,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",34,34,7934,7934,"no limitation","farm size (ha)","B_SE","probit_B_SE",14.2857142857143,0.16,0.0112,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Physical capital","Farm size","continuous","ha","Farm size (continuous)",1,0.158699973019499,0.00012028645008565
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","% of total landholding that is owned","land tenure security","percentage of total landholding that is owned","percentage of owned land","continuous","none",NA,"correlated random effects probit model","probit","B",0.00127,0.00127,"SE","0",1e-04,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",34,34,7934,7934,"no limitation","land tenure security (percentage of owned land)","B_SE","probit_B_SE",12.7,0.002032,0.00016,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Physical capital","Land tenure","continuous","percentage","Land tenure (continuous)",2,0.141458284572752,0.000121567028533109
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","TLU w/o cattle","units of livestock","TLU","TLU","continuous","none",NA,"correlated random effects probit model","probit","B",-0.014,-0.014,"SE","1.0999999999999999E-2",0.011,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation","units of livestock (TLU)","B_SE","probit_B_SE",-1.27272727272727,-0.0224,0.0176,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Physical capital","Livestock units","continuous","TLU","Livestock units (continuous)",3,-0.0143187388434891,0.000126530378414132
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Km from the homestead to the nearest feeder road","distance to road","km","km","continuous","none",NA,"correlated random effects probit model","probit","B",0.00192,0.00192,"SE","2E-3",0.002,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation","distance to road (km)","B_SE","probit_B_SE",0.96,0.003072,0.0032,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Accessibility","Distance road","continuous","km","Distance road (continuous)",4,0.0108008974433494,0.000126552746182057
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","mm/year","continuous","none",NA,"correlated random effects probit model","probit","B",0.000858,0.000858,"SE","1E-3",0.001,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation","precipitation (mm/year)","B_SE","probit_B_SE",0.858,0.0013728,0.0016,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Biophysical","Precipitation","mm/year","mm/year","Precipitation (mm/year)",5,0.00965341538866476,0.000126558687573006
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Female-headed HH (=1)","hh gender","1= female, 0= male","1= male, 0= female","categorical (binary)","-1",1,"correlated random effects probit model","probit","B",0.00102,0.00102,"SE","3.5999999999999997E-2",0.036,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation","hh gender (1= male, 0= female)","B_SE","probit_B_SE",-0.0283333333333333,-0.001632,0.0576,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Socio-demographic","Gender","1= male","1= male","Gender (1= male)",6,-0.000318795066605279,0.000126582252751825
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Age of household head","hh age","years","years","continuous","none",NA,"correlated random effects probit model","probit","B",0.00291,0.00291,"SE","2E-3",0.002,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation","hh age (years)","B_SE","probit_B_SE",1.455,0.004656,0.0032,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Socio-demographic","Age","continuous","years","Age (continuous)",7,0.016368871756405,0.000126514454666667
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","hh education: Secondary (grades 8-12) (=1)","hh education","1= Secondary (grades 8-12), 0= otherwise","1= high school education, 0= otherwise","categorical (binary)","none",NA,"correlated random effects probit model","probit","B",0.0245,0.0245,"SE","3.9E-2",0.039,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation","hh education (1= high school education, 0= otherwise)","B_SE","probit_B_SE",0.628205128205128,0.0392,0.0624,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Socio-demographic","Education","1= high school","1= high school","Education (1= high school)",8,0.00706813070269072,0.000126569631082606
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","hh education: Post-secondary (=1)","hh education","1= Post-secondary, 0= otherwise","1= post-secondary education, 0= otherwise","categorical (binary)","none",NA,"correlated random effects probit model","probit","B",0.125,0.125,"SE","9.5000000000000001E-2",0.095,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation","hh education (1= post-secondary education, 0= otherwise)","B_SE","probit_B_SE",1.31578947368421,0.2,0.152,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Socio-demographic","Education","1= post-secondary","1= post-secondary","Education (1= post-secondary)",9,0.0148031030253053,0.000126526808139293
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Number of FTE prime age adults (age 15 to 59)","h adult members","number of adults (15 years to 59)","number of people","continuous","none",NA,"correlated random effects probit model","probit","B",-0.0165,-0.0165,"SE","6.0000000000000001E-3",0.006,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",34,34,7934,7934,"no limitation","h adult members (number of people)","B_SE","probit_B_SE",-2.75,-0.0264,0.0096,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Social capital","Adults in household","continuous","number of people","Adults in household (continuous)",10,-0.0309270744403891,0.000126340246455017
