"moderator","factor_sub_class","pcc_factor_unit","moderator_class","beta","ci.lb","ci.ub","tval","df","pval","f_test","significance2","significance"
"m_region","Physical capital","Farm size (continuous)","Africa",0.0178,-0.0281,0.0636,0.7714,84,0.4426,"QM (5, 84) = 1.5149, p =0.1939","no_significant_positive","0.4426"
"m_region","Physical capital","Farm size (continuous)","Asia",0.1011,0.0241,0.178,2.6125,84,0.0106,"QM (5, 84) = 1.5149, p =0.1939","significant_positive","0.0106*"
"m_region","Physical capital","Farm size (continuous)","Europe",-0.014,-0.2224,0.1944,-0.1337,84,0.8939,"QM (5, 84) = 1.5149, p =0.1939","no_significant_negative","0.8939"
"m_region","Physical capital","Farm size (continuous)","Latin America and the Caribbean",0.0377,-0.2328,0.3081,0.2769,84,0.7825,"QM (5, 84) = 1.5149, p =0.1939","no_significant_positive","0.7825"
"m_region","Physical capital","Farm size (continuous)","Northern America",0.0141,-0.1008,0.1291,0.2444,84,0.8075,"QM (5, 84) = 1.5149, p =0.1939","no_significant_positive","0.8075"
"m_region","Physical capital","Livestock units (continuous)","Africa",0.0155,-0.0881,0.1192,0.3087,25,0.7601,"QM (3, 25) = 0.3758, p =0.7712","no_significant_positive","0.7601"
"m_region","Physical capital","Livestock units (continuous)","Asia",0.0699,-0.1345,0.2742,0.7043,25,0.4878,"QM (3, 25) = 0.3758, p =0.7712","no_significant_positive","0.4878"
"m_region","Physical capital","Livestock units (continuous)","Northern America",0.0929,-0.1685,0.3543,0.7322,25,0.4708,"QM (3, 25) = 0.3758, p =0.7712","no_significant_positive","0.4708"
"m_region","Social capital","Adults in household (continuous)","Africa",0.0968,-0.1189,0.3125,0.9775,12,0.3476,"QM (4, 12) = 0.5966, p =0.672","no_significant_positive","0.3476"
"m_region","Social capital","Adults in household (continuous)","Asia",0.0952,-0.1181,0.3085,0.9727,12,0.3499,"QM (4, 12) = 0.5966, p =0.672","no_significant_positive","0.3499"
"m_region","Social capital","Adults in household (continuous)","Europe",-0.1108,-0.7031,0.4814,-0.4078,12,0.6906,"QM (4, 12) = 0.5966, p =0.672","no_significant_negative","0.6906"
"m_region","Social capital","Adults in household (continuous)","Latin America and the Caribbean",0.1521,-0.435,0.7392,0.5646,12,0.5827,"QM (4, 12) = 0.5966, p =0.672","no_significant_positive","0.5827"
"m_region","Socio-demographic","Household size (continuous)","Africa",0.029,-0.0249,0.083,1.075,63,0.2865,"QM (5, 63) = 0.3132, p =0.9033","no_significant_positive","0.2865"
"m_region","Socio-demographic","Household size (continuous)","Asia",-3e-04,-0.1125,0.112,-0.0047,63,0.9963,"QM (5, 63) = 0.3132, p =0.9033","no_significant_negative","0.9963"
"m_region","Socio-demographic","Household size (continuous)","Europe",0.1074,-0.3246,0.5394,0.4969,63,0.621,"QM (5, 63) = 0.3132, p =0.9033","no_significant_positive","0.621"
"m_region","Socio-demographic","Household size (continuous)","Latin America and the Caribbean",0.0637,-0.3359,0.4632,0.3184,63,0.7512,"QM (5, 63) = 0.3132, p =0.9033","no_significant_positive","0.7512"
"m_region","Socio-demographic","Household size (continuous)","Northern America",0.0487,-0.343,0.4405,0.2486,63,0.8044,"QM (5, 63) = 0.3132, p =0.9033","no_significant_positive","0.8044"
"m_region","Social capital","Association member (1= yes)","Africa",0.0845,0.0106,0.1585,2.293,52,0.0259,"QM (5, 52) = 1.5866, p =0.1802","significant_positive","0.0259*"
"m_region","Social capital","Association member (1= yes)","Asia",0.0939,-0.0232,0.2111,1.6095,52,0.1136,"QM (5, 52) = 1.5866, p =0.1802","no_significant_positive","0.1136"
"m_region","Social capital","Association member (1= yes)","Europe",0.0095,-0.3208,0.3399,0.058,52,0.954,"QM (5, 52) = 1.5866, p =0.1802","no_significant_positive","0.954"
"m_region","Social capital","Association member (1= yes)","Latin America and the Caribbean",-0.0618,-0.545,0.4214,-0.2567,52,0.7984,"QM (5, 52) = 1.5866, p =0.1802","no_significant_negative","0.7984"
"m_region","Social capital","Association member (1= yes)","Northern America",0.02,-0.3032,0.3432,0.1244,52,0.9015,"QM (5, 52) = 1.5866, p =0.1802","no_significant_positive","0.9015"
"m_region","Technical information","Access to extension (1= yes)","Africa",0.0704,0.0023,0.1384,2.0797,47,0.043,"QM (5, 47) = 1.8175, p =0.1277","significant_positive","0.043*"
"m_region","Technical information","Access to extension (1= yes)","Asia",0.1371,-0.0036,0.2778,1.9606,47,0.0559,"QM (5, 47) = 1.8175, p =0.1277","no_significant_positive","0.0559"
"m_region","Technical information","Access to extension (1= yes)","Europe",0.0512,-0.2532,0.3556,0.3384,47,0.7366,"QM (5, 47) = 1.8175, p =0.1277","no_significant_positive","0.7366"
"m_region","Technical information","Access to extension (1= yes)","Latin America and the Caribbean",8e-04,-0.2906,0.2921,0.0053,47,0.9958,"QM (5, 47) = 1.8175, p =0.1277","no_significant_positive","0.9958"
